State,Winner of State
United States,Biden
Alabama,Trump
Alaska,Trump
Arizona,Biden
Arkansas,Trump
California,Biden
Colorado,Biden
Connecticut,Biden
Delaware,Biden
District of Columbia,Biden
Florida,Trump
Georgia,Biden
Hawaii,Biden
Idaho,Trump
Illinois,Biden
Indiana,Trump
Iowa,Trump
Kansas,Trump
Kentucky,Trump
Louisiana*,Trump
Maine,Biden
Maryland,Biden
Massachusetts,Biden
Michigan,Biden
Minnesota,Biden
Mississippi,Trump
Missouri,Trump
Montana*,Trump
Nebraska,Trump
Nevada,Biden
New Hampshire,Biden
New Jersey,Biden
New Mexico,Biden
New York,Biden
North Carolina,Trump
North Dakota,Trump
Ohio,Trump
Oklahoma,Trump
Oregon,Biden
Pennsylvania*,Biden
Rhode Island,Biden
South Carolina,Trump
South Dakota,Trump
Tennessee,Trump
Texas,Trump
Utah,Trump
Vermont,Biden
Virginia,Biden
Washington,Biden
West Virginia,Trump
Wisconsin,Biden
Wyoming,Trump
,